ime,dirkalisce,drzava,datum,prvenstvo,zmagovalec 
Oulton Park Gold Cup,International Gold Cup,GBR,26/09/1959,Non-championship,Stirling Moss
Hillsborough NASCAR,,USA,20/09/1959,NASCAR Grand National,Lee Petty
Indiana State Fair Indycars,Hoosier 100,USA,19/09/1959,USAC National Championship,Rodger Ward
Italian Grand Prix,Gran Premio d&#039;Italia,ITA,13/09/1959,F1 World Championship,Stirling Moss
Richmond NASCAR,,USA,13/09/1959,NASCAR Grand National,Cotton Owens
Sacramento NASCAR,,USA,13/09/1959,NASCAR Grand National,Eddie Gray
Syracuse Indycars,Syracuse 100,USA,12/09/1959,USAC National Championship,Eddie Sachs
Hickory NASCAR,,USA,11/09/1959,NASCAR Grand National,Lee Petty
Du Quoin Indycars,Ted Horn Memorial/Du Quoin 100,USA,07/09/1959,USAC National Championship,Rodger Ward
Darlington NASCAR,Southern 500,USA,07/09/1959,NASCAR Grand National,Jim Reed
Tourist Trophy,RAC Tourist Trophy,GBR,05/09/1959,Stirling Moss,Carroll Shelby
Milwaukee Indycars,Milwaukee 200,USA,30/08/1959,USAC National Championship,Rodger Ward
Columbia NASCAR,,USA,29/08/1959,NASCAR Grand National,Lee Petty
Portuguese Grand Prix,Grande Premio de Portugal,PRT,23/08/1959,F1 World Championship,Stirling Moss
Springfield Indycars,Springfield 100,USA,22/08/1959,USAC National Championship,Len Sutton
Greenville NASCAR,,USA,22/08/1959,NASCAR Grand National,Buck Baker
Winston-Salem NASCAR,,USA,21/08/1959,NASCAR Grand National,Rex White
Weaverville NASCAR,Western North Carolina 500,USA,16/08/1959,NASCAR Grand National,Bob Welborn
Nashville NASCAR,,USA,09/08/1959,NASCAR Grand National,Joe Lee Johnson
German Grand Prix,Grosser Preis von Deutschland,DEU,02/08/1959,F1 World Championship,Tony Brooks
Charlotte NASCAR,,USA,02/08/1959,Junior Johnson,Joe Weatherly
Myrtle Beach NASCAR,,USA,01/08/1959,NASCAR Grand National,Ned Jarrett
Charlotte NASCAR,,USA,26/07/1959,NASCAR Grand National,Jack Smith
Pittsburgh NASCAR,Pittsburgh NASCAR,USA,21/07/1959,NASCAR Grand National,Jim Reed
British Grand Prix,British Grand Prix,GBR,18/07/1959,F1 World Championship,Jack Brabham
French Grand Prix,Grand Prix de l&#039;Automobile Club de France,FRA,05/07/1959,F1 World Championship,Tony Brooks
Daytona NASCAR,Firecracker 250,USA,04/07/1959,NASCAR Grand National,Fireball Roberts
Weaverville NASCAR,,USA,28/06/1959,NASCAR Grand National,Rex White
Winston-Salem NASCAR,,USA,27/06/1959,NASCAR Grand National,Rex White
Richmond NASCAR,Richmond NASCAR,USA,21/06/1959,NASCAR Grand National,Tom Pistone
Le Mans 24 Hours,24 heures du Mans,FRA,20/06/1959,Roy Salvadori,Carroll Shelby
Wilson County NASCAR,,USA,20/06/1959,NASCAR Grand National,Junior Johnson
Columbia NASCAR,,USA,18/06/1959,NASCAR Grand National,Lee Petty
Langhorne Indycars,Langhorne 100,USA,14/06/1959,USAC National Championship,Van Johnson
Atlanta NASCAR,,USA,14/06/1959,NASCAR Grand National,Lee Petty
Greenville NASCAR,,USA,13/06/1959,NASCAR Grand National,Junior Johnson
Milwaukee Indycars,Rex Mays 100,USA,07/06/1959,USAC National Championship,Johnny Thomson
Nurburgring 1000Kms,ADAC 1000 km-Rennen,DEU,07/06/1959,Jack Fairman,Stirling Moss
Spartanburg NASCAR,,USA,05/06/1959,NASCAR Grand National,Jack Smith
Dutch Grand Prix,Grote Prijs van Nederland,NLD,31/05/1959,F1 World Championship,Jo Bonnier
Indianapolis 500,Indianapolis 500,USA,30/05/1959,USAC National Championship,Rodger Ward
Los Angeles NASCAR,,USA,30/05/1959,NASCAR Grand National,Parnelli Jones
Indianapolis 500,Indianapolis 500,USA,30/05/1959,F1 World Championship,Rodger Ward
Targa Florio,Targa Florio,ITA,24/05/1959,Edgar Barth,Wolfgang Seidel
Nashville NASCAR,,USA,24/05/1959,NASCAR Grand National,Rex White
Charlotte NASCAR,,USA,22/05/1959,NASCAR Grand National,Lee Petty
Trenton NASCAR,,USA,17/05/1959,NASCAR Grand National,Tom Pistone
Monaco Grand Prix,Grand Prix de Monaco,MCO,10/05/1959,F1 World Championship,Jack Brabham
Martinsville NASCAR,Virginia 500,USA,03/05/1959,NASCAR Grand National,Lee Petty
International Trophy,Daily Express International Trophy,GBR,02/05/1959,Non-championship,Jack Brabham
Hickory NASCAR,,USA,02/05/1959,NASCAR Grand National,Junior Johnson
Reading NASCAR,,USA,26/04/1959,NASCAR Grand National,Junior Johnson
Trenton Indycars,Trenton 100,USA,19/04/1959,USAC National Championship,Tony Bettenhausen
Aintree F1,BARC 200,GBR,18/04/1959,Non-championship,Jean Behra
North Wilkesboro NASCAR,,USA,05/04/1959,NASCAR Grand National,Lee Petty
Daytona Indycars,USAC/FIA Formula 1 100,USA,04/04/1959,USAC National Championship,Jim Rathmann
Columbia NASCAR,,USA,04/04/1959,NASCAR Grand National,Jack Smith
Goodwood F1,Glover Trophy,GBR,30/03/1959,Non-championship,Stirling Moss
Winston-Salem NASCAR,,USA,30/03/1959,NASCAR Grand National,Jim Reed
Wilson County NASCAR,,USA,29/03/1959,NASCAR Grand National,Junior Johnson
Atlanta NASCAR,,USA,22/03/1959,NASCAR Grand National,Johnny Beauchamp
Sebring 12 Hours,12 Hours of Sebring,USA,21/03/1959,Dan Gurney,Phil Hill
Concord NASCAR,,USA,08/03/1959,NASCAR Grand National,Curtis Turner
Australian Grand Prix,Australian Grand Prix,AUS,02/03/1959,Non-championship,Stan Jones
Hillsborough NASCAR,,USA,01/03/1959,NASCAR Grand National,Curtis Turner
Buenos Aires Grand Prix,Gran Premio de la Ciudad de Buenos Aires,ARG,01/03/1959,Non-championship,Jesus Iglesias
Daytona 500,Daytona 500,USA,22/02/1959,NASCAR Grand National,Lee Petty
Daytona NASCAR,,USA,20/02/1959,NASCAR Grand National,Bob Welborn
New Zealand Grand Prix,New Zealand Grand Prix,NZL,10/01/1959,Non-championship,Stirling Moss
Macau Grand Prix,Grande Premio de Macau,MAC,16/11/1958,Non-championship,Chan Lye Choon
Phoenix Indycars,Bobby Ball 100,USA,11/11/1958,USAC National Championship,Jud Larson
Fayetteville NASCAR,,USA,09/11/1958,NASCAR Grand National,Bob Welborn
Sacramento Indycars,Golden State 100,USA,26/10/1958,USAC National Championship,Johnny Thomson
Atlanta NASCAR,,USA,26/10/1958,NASCAR Grand National,Junior Johnson
Moroccan Grand Prix,Grand Prix du Maroc,MAR,19/10/1958,F1 World Championship,Stirling Moss
North Wilkesboro NASCAR,,USA,19/10/1958,NASCAR Grand National,Junior Johnson
Martinsville NASCAR,Old Dominion 500,USA,12/10/1958,NASCAR Grand National,Fireball Roberts
Australian Grand Prix,Australian Grand Prix,AUS,06/10/1958,Non-championship,Lex Davison
Salisbury NASCAR,,USA,05/10/1958,NASCAR Grand National,Lee Petty
Trenton Indycars,Trenton 100,USA,28/09/1958,USAC National Championship,Rodger Ward
Hillsborough NASCAR,,USA,28/09/1958,NASCAR Grand National,Joe Eubanks
Richmond NASCAR,,USA,14/09/1958,NASCAR Grand National,Speedy Thompson
Indiana State Fair Indycars,Hoosier 100,USA,13/09/1958,USAC National Championship,Eddie Sachs
Tourist Trophy,RAC Tourist Trophy,GBR,13/09/1958,Tony Brooks,Stirling Moss
Gastonia NASCAR,,USA,12/09/1958,NASCAR Grand National,Buck Baker
Italian Grand Prix,Gran Premio d&#039;Italia,ITA,07/09/1958,F1 World Championship,Tony Brooks
Birmingham NASCAR,,USA,07/09/1958,NASCAR Grand National,Fireball Roberts
Sacramento NASCAR,,USA,07/09/1958,NASCAR Grand National,Parnelli Jones
Syracuse Indycars,Syracuse 100,USA,06/09/1958,USAC National Championship,Johnny Thomson
Charlotte NASCAR,,USA,05/09/1958,NASCAR Grand National,Buck Baker
Du Quoin Indycars,Ted Horn Memorial/Du Quoin 100,USA,01/09/1958,USAC National Championship,Johnny Thomson
Darlington NASCAR,Southern 500,USA,01/09/1958,NASCAR Grand National,Fireball Roberts
Portuguese Grand Prix,Grande Premio de Portugal,PRT,24/08/1958,F1 World Championship,Stirling Moss
Milwaukee Indycars,Milwaukee 200,USA,24/08/1958,USAC National Championship,Rodger Ward
Myrtle Beach NASCAR,,USA,23/08/1958,NASCAR Grand National,Bob Welborn
Winston-Salem NASCAR,,USA,22/08/1958,NASCAR Grand National,Lee Petty
Weaverville NASCAR,Western North Carolina 500,USA,17/08/1958,Banjo Matthews,Fireball Roberts
Springfield Indycars,Springfield 100,USA,16/08/1958,USAC National Championship,Johnny Thomson
Nashville NASCAR,,USA,10/08/1958,NASCAR Grand National,Joe Weatherly
Columbia NASCAR,,USA,07/08/1958,NASCAR Grand National,Speedy Thompson
German Grand Prix,Grosser Preis von Deutschland,DEU,03/08/1958,F1 World Championship,Tony Brooks
Bridgehampton NASCAR,,USA,02/08/1958,NASCAR Grand National,Jack Smith
Belmar NASCAR,,USA,26/07/1958,NASCAR Grand National,Jim Reed
Rochester NASCAR,,USA,25/07/1958,NASCAR Grand National,Cotton Owens
Caen Grand Prix,Grand Prix de Caen,FRA,20/07/1958,Non-championship,Stirling Moss
British Grand Prix,British Grand Prix,GBR,19/07/1958,F1 World Championship,Peter Collins
Buffalo NASCAR,,USA,19/07/1958,NASCAR Grand National,Jim Reed
Toronto NASCAR,Jim Mideon 500,CAN,18/07/1958,NASCAR Grand National,Lee Petty
Busti NASCAR,,USA,16/07/1958,NASCAR Grand National,Shorty Rollins
Asheville NASCAR,,USA,12/07/1958,NASCAR Grand National,Jim Paschal
French Grand Prix,Grand Prix de l&#039;Automobile Club de France,FRA,06/07/1958,F1 World Championship,Mike Hawthorn
Atlanta Indycars,Atlanta 100,USA,04/07/1958,USAC National Championship,Jud Larson
Raleigh NASCAR,Raleigh 250,USA,04/07/1958,NASCAR Grand National,Fireball Roberts
Weaverville NASCAR,,USA,29/06/1958,NASCAR Grand National,Rex White
Race of Two Worlds,500 miglia di Monza,ITA,29/06/1958,non-championship,Jim Rathmann
Hickory NASCAR,,USA,28/06/1958,NASCAR Grand National,Lee Petty
New Oxford NASCAR,,USA,25/06/1958,NASCAR Grand National,Lee Petty
Le Mans 24 Hours,24 heures du Mans,FRA,21/06/1958,Olivier Gendebien,Phil Hill
Belgian Grand Prix,Grand Prix de Belgique et d&#039;Europe,BEL,15/06/1958,F1 World Championship,Tony Brooks
Langhorne Indycars,Langhorne 100,USA,15/06/1958,USAC National Championship,Eddie Sachs
Reading NASCAR,,USA,15/06/1958,NASCAR Grand National,Junior Johnson
Bradford NASCAR,,USA,12/06/1958,NASCAR Grand National,Junior Johnson
Milwaukee Indycars,Rex Mays 100,USA,08/06/1958,USAC National Championship,Art Bisch
Columbia NASCAR,,USA,05/06/1958,NASCAR Grand National,Junior Johnson
Nurburgring 1000Kms,ADAC 1000 km-Rennen,DEU,01/06/1958,Jack Brabham,Stirling Moss
Riverside NASCAR,Crown America 500,USA,01/06/1958,NASCAR Grand National,Eddie Gray
Indianapolis 500,Indianapolis 500,USA,30/05/1958,USAC National Championship,Jimmy Bryan
Trenton NASCAR,Northern 500,USA,30/05/1958,NASCAR Grand National,Fireball Roberts
Indianapolis 500,Indianapolis 500,USA,30/05/1958,F1 World Championship,Jimmy Bryan
Dutch Grand Prix,Grote Prijs van Nederland,NLD,25/05/1958,F1 World Championship,Stirling Moss
Winston-Salem NASCAR,,USA,24/05/1958,NASCAR Grand National,Bob Welborn
North Wilkesboro NASCAR,,USA,18/05/1958,NASCAR Grand National,Junior Johnson
Monaco Grand Prix,Grand Prix de Monaco,MCO,18/05/1958,F1 World Championship,Maurice Trintignant
Roanoke NASCAR,,USA,15/05/1958,NASCAR Grand National,Jim Reed
Targa Florio,Targa Florio,ITA,11/05/1958,Olivier Gendebien,Luigi Musso
Greensboro NASCAR,,USA,11/05/1958,NASCAR Grand National,Bob Welborn
International Trophy,Daily Express International Trophy,GBR,03/05/1958,Non-championship,Peter Collins
Greenville NASCAR,,USA,03/05/1958,NASCAR Grand National,Jack Smith
Old Bridge NASCAR,,USA,27/04/1958,NASCAR Grand National,Jim Reed
Manassas NASCAR,,USA,25/04/1958,NASCAR Grand National,Frankie Schneider
Martinsville NASCAR,Virginia 500,USA,20/04/1958,NASCAR Grand National,Bob Welborn
Aintree F1,BARC 200,GBR,19/04/1958,Non-championship,Stirling Moss
Charlotte NASCAR,,USA,18/04/1958,NASCAR Grand National,Curtis Turner
Syracuse Grand Prix,Gran Premio di Siracusa,ITA,13/04/1958,Non-championship,Luigi Musso
Atlanta NASCAR,,USA,13/04/1958,NASCAR Grand National,Curtis Turner
Spartanburg NASCAR,,USA,12/04/1958,NASCAR Grand National,Speedy Thompson
Columbia NASCAR,,USA,10/04/1958,NASCAR Grand National,Speedy Thompson
Goodwood F1,Glover Trophy,GBR,07/04/1958,Non-championship,Mike Hawthorn
Fayetteville NASCAR,,USA,05/04/1958,NASCAR Grand National,Bob Welborn
Trenton Indycars,Trenton 100,USA,30/03/1958,USAC National Championship,Len Sutton
Hillsborough NASCAR,,USA,23/03/1958,NASCAR Grand National,Buck Baker
Sebring 12 Hours,12 Hours of Sebring,USA,22/03/1958,Peter Collins,Phil Hill
Wilson County NASCAR,,USA,16/03/1958,NASCAR Grand National,Lee Petty
Fayetteville NASCAR,,USA,15/03/1958,NASCAR Grand National,Curtis Turner
Concord NASCAR,,USA,02/03/1958,NASCAR Grand National,Lee Petty
Daytona NASCAR,,USA,23/02/1958,NASCAR Grand National,Paul Goldsmith
Buenos Aires Grand Prix,Gran Premio de la Ciudad de Buenos Aires,ARG,02/02/1958,non-championship,Juan Manuel Fangio
Buenos Aires 1000Kms,1000 km de la Ciudad de Buenos Aires,ARG,26/01/1958,Peter Collins,Phil Hill
Argentine Grand Prix,Gran Premio de la Republica Argentina,ARG,19/01/1958,F1 World Championship,Stirling Moss
New Zealand Grand Prix,New Zealand Grand Prix,NZL,11/01/1958,non-championship,Jack Brabham
Macau Grand Prix,Grande Premio de Macau,MAC,17/11/1957,Non-championship,Arthur Pateman
Phoenix Indycars,Bobby Ball 100,USA,11/11/1957,USAC National Championship,Jimmy Bryan
Venezuelan Grand Prix,Gran Premio de Venezuela,VEN,03/11/1957,Peter Collins,Phil Hill
Fayetteville NASCAR,,USA,03/11/1957,NASCAR Grand National,Rex White
Moroccan Grand Prix,Grand Prix du Maroc,MAR,27/10/1957,Non-championship,Jean Behra
Greensboro NASCAR,,USA,27/10/1957,NASCAR Grand National,Buck Baker
Sacramento Indycars,Golden State 100,USA,20/10/1957,USAC National Championship,Rodger Ward
North Wilkesboro NASCAR,,USA,20/10/1957,NASCAR Grand National,Jack Smith
Concord NASCAR,,USA,13/10/1957,NASCAR Grand National,Fireball Roberts
Newberry NASCAR,,USA,12/10/1957,NASCAR Grand National,Fireball Roberts
Martinsville NASCAR,Sweepstakes 500,USA,06/10/1957,Bob Welborn,Possum Jones
Charlotte NASCAR,,USA,05/10/1957,NASCAR Grand National,Lee Petty
Trenton Indycars,Trenton 100,USA,29/09/1957,USAC National Championship,Pat O&#039;Connor
Modena Grand Prix,Gran Premio di Modena,ITA,22/09/1957,Non-championship,Jean Behra
Shelby NASCAR,,USA,21/09/1957,NASCAR Grand National,Buck Baker
Columbia NASCAR,,USA,19/09/1957,NASCAR Grand National,Buck Baker
San Jose NASCAR,,USA,15/09/1957,NASCAR Grand National,Marvin Porter
Langhorne NASCAR,,USA,15/09/1957,NASCAR Grand National,Gwyn Staley
Indiana State Fair Indycars,Hoosier 100,USA,14/09/1957,USAC National Championship,Jud Larson
International Trophy,Daily Express International Trophy,GBR,14/09/1957,Non-championship,Jean Behra
Italian Grand Prix,Gran Premio d&#039;Italia,ITA,08/09/1957,F1 World Championship,Stirling Moss
Weaverville NASCAR,,USA,08/09/1957,NASCAR Grand National,Lee Petty
Sacramento NASCAR,,USA,08/09/1957,NASCAR Grand National,&quot;Danny Graves&quot;
Syracuse Indycars,Syracuse 100,USA,07/09/1957,USAC National Championship,Elmer George
Syracuse NASCAR,,USA,05/09/1957,NASCAR Grand National,Gwyn Staley
Du Quoin Indycars,Ted Horn Memorial/Du Quoin 100,USA,02/09/1957,USAC National Championship,Jud Larson
Darlington NASCAR,Southern 500,USA,02/09/1957,NASCAR Grand National,Speedy Thompson
Myrtle Beach NASCAR,,USA,26/08/1957,NASCAR Grand National,Gwyn Staley
Milwaukee Indycars,Milwaukee 200,USA,25/08/1957,USAC National Championship,Jim Rathmann
Pescara Grand Prix,Gran Premio di Pescara,ITA,18/08/1957,F1 World Championship,Stirling Moss
Springfield Indycars,Springfield 100,USA,17/08/1957,USAC National Championship,Rodger Ward
Old Bridge NASCAR,,USA,16/08/1957,NASCAR Grand National,Lee Petty
Swedish Grand Prix,Sveriges Grand Prix,SWE,11/08/1957,Jean Behra,Stirling Moss
New Oxford NASCAR,,USA,10/08/1957,NASCAR Grand National,Marvin Panch
German Grand Prix,Grosser Preis von Deutschland,DEU,04/08/1957,F1 World Championship,Juan Manuel Fangio
Watkins Glen NASCAR,,USA,04/08/1957,NASCAR Grand National,Buck Baker
Bremerton NASCAR,,USA,04/08/1957,NASCAR Grand National,Parnelli Jones
Lancaster NASCAR,,USA,30/07/1957,NASCAR Grand National,Speedy Thompson
Caen Grand Prix,Grand Prix de Caen,FRA,28/07/1957,Non-championship,Jean Behra
Norfolk NASCAR,,USA,24/07/1957,NASCAR Grand National,Buck Baker
British Grand Prix,British and European Grand Prix,GBR,20/07/1957,Tony Brooks,Stirling Moss
Hickory NASCAR,,USA,20/07/1957,NASCAR Grand National,Jack Smith
Reims Grand Prix,Grand Prix de Reims,FRA,14/07/1957,Non-championship,Luigi Musso
LeHi NASCAR,,USA,14/07/1957,NASCAR Grand National,Marvin Panch
Portland NASCAR,,USA,14/07/1957,NASCAR Grand National,Eddie Pagan
Charlotte NASCAR,,USA,12/07/1957,NASCAR Grand National,Marvin Panch
French Grand Prix,Grand Prix de l&#039;Automobile Club de France,FRA,07/07/1957,F1 World Championship,Juan Manuel Fangio
Atlanta Indycars,Atlanta 100,USA,04/07/1957,USAC National Championship,George Amick
Raleigh NASCAR,Raleigh 250,USA,04/07/1957,NASCAR Grand National,Paul Goldsmith
Jacksonville NASCAR,,USA,30/06/1957,NASCAR Grand National,Buck Baker
Spartanburg NASCAR,,USA,29/06/1957,NASCAR Grand National,Lee Petty
Race of Two Worlds,500 miglia di Monza,ITA,29/06/1957,non-championship,Jimmy Bryan
Detroit Indycars,Detroit 100,USA,23/06/1957,USAC National Championship,Jimmy Bryan
Le Mans 24 Hours,24 heures du Mans,FRA,22/06/1957,Ivor Bueb,Ron Flockhart
Sacramento NASCAR,,USA,22/06/1957,NASCAR Grand National,Bill Amick
Columbia NASCAR,,USA,20/06/1957,NASCAR Grand National,Jack Smith
Newport NASCAR,,USA,15/06/1957,NASCAR Grand National,Fireball Roberts
Milwaukee Indycars,Rex Mays 100,USA,09/06/1957,USAC National Championship,Rodger Ward
Los Angeles NASCAR,,USA,08/06/1957,NASCAR Grand National,Eddie Pagan
Langhorne Indycars,Langhorne 100,USA,02/06/1957,USAC National Championship,Johnny Thomson
Lancaster NASCAR,,USA,01/06/1957,NASCAR Grand National,Paul Goldsmith
Indianapolis 500,Indianapolis 500,USA,30/05/1957,USAC National Championship,Sam Hanks
Eureka NASCAR,,USA,30/05/1957,NASCAR Grand National,Lloyd Dane
New Oxford NASCAR,,USA,30/05/1957,NASCAR Grand National,Buck Baker
Indianapolis 500,Indianapolis 500,USA,30/05/1957,F1 World Championship,Sam Hanks
Nurburgring 1000Kms,ADAC 1000 km-Rennen,DEU,26/05/1957,Tony Brooks,Noel Cunningham-Reid
Portland NASCAR,,USA,26/05/1957,NASCAR Grand National,Eddie Pagan
Monaco Grand Prix,Grand Prix de Monaco,MCO,19/05/1957,F1 World Championship,Juan Manuel Fangio
Martinsville NASCAR,Virginia 500,USA,19/05/1957,NASCAR Grand National,Buck Baker
Mille Miglia,Mille Miglia,ITA,11/05/1957,World Sportscar Championship,Piero Taruffi
Richmond NASCAR,,USA,05/05/1957,NASCAR Grand National,Paul Goldsmith
Shelby NASCAR,,USA,04/05/1957,NASCAR Grand National,Fireball Roberts
Naples Grand Prix,Gran Premio di Napoli,ITA,28/04/1957,Non-championship,Peter Collins
Greensboro NASCAR,,USA,28/04/1957,NASCAR Grand National,Paul Goldsmith
Portland NASCAR,,USA,28/04/1957,NASCAR Grand National,Art Watts
Spartanburg NASCAR,,USA,27/04/1957,NASCAR Grand National,Marvin Panch
Pau Grand Prix,Grand Prix de Pau,FRA,22/04/1957,Non-championship,Jean Behra
Goodwood F1,Glover Trophy,GBR,22/04/1957,Non-championship,Stuart Lewis-Evans
